,FoodItem,Item.No,Category,Palatability,Energy_levels,Energy_levels2,NOVA_Group,NOVA_Group2,Liking,Familiarity,Healthiness,Expected_Satiation,Frequency_of_consumption,Energy_content,Estimated_ED,Carbohydrate,Fat,Protein,Fibre,Sugars,Starch_Polyols,SatFat,Salt,Sodium,Energy_density,Portion,Actual_price,red,green,blue,Object_size,Brightness,Within_object_contrast,complexity,norm_complexity,Spatial_frequency,meanpow,visual_area_px,visual_area_cm2
57,Suolakeksi / Salted crackers,60,Combo,Not HPF,HED,VHED,UPF,UPF,60.63709677,78.19032258,29.56451613,33.17741935,1.693548387,115.7496774,51.37741935,16.7835,4.7595,2.1042,0.6012,1.77855,15.00495,0.47595,0.42585,0.16752557,4.79,25.05,0.738975,0.345360807,0.337155953,0.31748324,0.999993682,55.60461847,26.99483,0.033242835,0.033243045,16.59149,17.36199,777012,122.5244938
58,Suolatut riisikakut / Salted rice cakes,61,Carbohydrate,Not HPF,MED,HED,PF,MPF,59.35483871,71.5483871,55.91774194,37.53387097,2.483870968,99.96,29.48548387,24.2502,1.15033,2.64265,1.05706,0.21763,24.03257,0.21763,0.099488,0.039137687,3.86,31.09,0.188931538,0.341852663,0.336569089,0.321578248,0.999997257,64.39347695,27.03198,0.036355752,0.036355852,16.80418,17.55001,703521,110.9359371
59,Täytekeksi vanilja / Vanilla biscuits,62,Combo,HPF,HED,VHED,UPF,UPF,63.06451613,76.47580645,14.50322581,23.17258065,1.35483871,95.98451613,64.62258065,17.2176,4.8108,1.36728,0.68364,9.6216,7.596,1.36728,0.187368,0.073708891,4.74,25.32,0.287727273,0.339307323,0.335915332,0.324777345,0.999993432,55.10148228,34.4119,0.018031562,0.01803168,16.76053,17.4996,269099,42.43334562
60,Uunilenkki / Oven sausage,63,Fat,HPF,MED,MED,UPF,UPF,51.02419355,70.2,31.99516129,48.02580645,1.129032258,109.4787097,61.95967742,4.9095,8.728,6.0005,0.1091,0.5455,4.364,3.8185,0.8728,0.343351692,2.2,54.55,0.27138625,0.342733217,0.335126896,0.322139887,0.999993432,56.79485253,28.61876,0.023147987,0.023148139,15.81015,16.73572,447078,70.49827496
61,Vaahtokarkit / Marshmellow candies,64,Carbohydrate,Not HPF,MED,HED,UPF,UPF,48.99193548,71.30806452,7.120967742,27.70322581,0.225806452,154.9974194,64.00322581,28.53229,0,1.4284,0,24.13996,4.39233,0,0,0,3.36,35.71,0.189263,0.341027388,0.336547205,0.322425406,0.999994513,65.42036975,25.29123,0.027841679,0.027841832,16.97925,17.66267,324170,51.1173124
62,Välipalakaurakeksi tumma suklaa / Chocolate snack biscuit,65,Combo,Not HPF,HED,VHED,UPF,UPF,59.65322581,74.72419355,49.50806452,46.1,3.048387097,120.7354839,59.68548387,15.2361,4.8114,2.43243,2.37897,5.346,9.8901,0.88209,0.264627,0.104101888,4.49,26.73,0.284229,0.342382458,0.33625379,0.321363752,0.99999576,62.4503398,25.92819,0.02686445,0.026864564,16.21518,17.05491,908464,143.2527319
63,Vaniljakreemidonitsi / Vanilla cream donut ,66,Combo,HPF,HED,VHED,UPF,UPF,59.5,57.89032258,9.580645161,33.68870968,0.564516129,124.7458065,72.83870968,11.75,7.5,1.175,0.35,6.4,5.35,3.825,0.0975,0.038355625,4.8,25,0.303571429,0.340133901,0.336571163,0.323294936,0.999992767,55.59020353,25.023,0.021090443,0.021090596,16.68301,17.43637,182708,28.81062996
64,Vehnäsämpylä / Wheat bun,67,Carbohydrate,Not HPF,MED,HED,PF,MPF,61.96774194,77.85967742,42.54354839,48.55806452,6.774193548,114.9212903,50.89677419,24,0.48,4.224,1.392,1.536,22.464,0.144,0.48,0.188827695,2.5,48,0.332307692,0.34470114,0.337130246,0.318168614,0.999993599,62.24578308,29.27168,0.035712718,0.035712947,16.64053,17.39029,797425,125.7433533
65,Vihreät oliivit / Green olives,68,Fat,HPF,MED,MED,UPF,UPF,53.7983871,73.76935484,65.05322581,35.70806452,4.741935484,100.2658065,44.12903226,0.6283,13.1943,0.75396,0,0,0.6283,1.75924,1.8849,0.741502754,1.91,62.83,0.8136485,0.340206439,0.336810801,0.32298276,0.999954859,59.66180155,31.87349,0.028375394,0.028376675,16.68384,17.67947,138250,21.80019261
66,Voileipäkeksi / Cream crackers,69,Combo,Not HPF,HED,VHED,PF,MPF,52.72580645,70.66935484,40.08870968,32.26935484,0.677419355,97.68,41.88225806,19.05085,3.29035,2.765,0,0.2212,18.82965,0.47005,0.163135,0.064175846,4.34,27.65,0.36498,0.343121175,0.336903009,0.319975817,0.999994846,63.18835268,26.029,0.027475894,0.027476036,16.73952,17.43022,751892,118.5634027
68,Voirinkeli / Bagel,70,Carbohydrate,Not HPF,MED,HED,PF,MPF,50.54032258,56.76612903,32.27419355,43.80483871,0.338709677,127.1883871,54.2,21.27216,2.18176,3.23855,0,3.23855,18.03361,0.54544,0.310219,0.122037372,3.52,34.09,0.160223,0.345131859,0.336719323,0.318148818,0.999994098,63.28443222,27.96401,0.024951558,0.024951706,16.87557,17.46469,486639,76.73652031
69,Vuohenjuusto / Goat cheese,71,Fat,Not HPF,MED,HED,PF,MPF,63.35483871,74.30645161,48.93387097,47.53548387,2.709677419,136.323871,68.62258065,0.202,10.1,7.272,0,0.202,0,7.272,0.606,0.238394965,2.97,40.4,0.80598,0.338486058,0.336191851,0.325322092,0.999998504,54.80759858,23.81098,0.025838588,0.025838627,15.77237,16.73184,336214,53.01649157
70,Ylikypsä Kinkku / Ham,72,Fat,Not HPF,LED,LED,UPF,UPF,56.81451613,76.02096774,47.12903226,63.69354839,5.870967742,168.8593548,64.20322581,0,3.6,21.72,0,0,0,1.44,0,0,1,120,1.356,0.346299376,0.333115697,0.320584927,0.999999002,68.70486016,32.31779,0.027887403,0.02788743,16.99794,17.64942,840349,132.5118992
